agency,description,municipality,name,investment,status,latitude,longitude,created_by_id,updated_by_id,created_at,updated_at,deleted,progress
INCCOPY,ESTUDIOS DE PREINVERSIÓN PARA LA CONSTRUCCIÓN DE UN SITIO DE DISPOSICIÓN FINAL EN EL MUNICIPIO DE CELESTÚN YUCATÁN,Celestún,Celestún,794600,FINALIZADA,20.94419192,-90.90905822,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IDEFEEY,"EQUIPAMIENTO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES  EN EL COLEGIO DE BACHILLERES PLANTEL CENOTILLO DE LA LOCALIDAD Y MUNICIPIO DE CENOTILLO, CCT. 31ECB0043I.",Cenotillo,Cenotillo,46316.36,EN_PROCESO,21.01022182,-88.56432319,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IDEFEEY,"INSTALACIÓN DE UN SISTEMA DE CAPTACIÓN DE AGUA DE LLUVIA DISEÑADO PARA ALMACENAR MAS DE 5,000 LITROS EN UN TINACO BASE DE ALTA RESISTENCIA EN LA ESCUELA SECUNDARIA TÉCNICA AGROPECUARIA ADEMAR EFRAÍN BRITO, DE LA LOCALIDAD Y MUNICIPIO DE CENOTILLO. C.C.T. 31DST0016C",Cenotillo,Cenotillo,186305.88,EN_PROCESO,21.01022182,-88.56432319,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
INCCOPY,"CONSTRUCCIÓN DE CANCHA DE USOS MULTIPLES Y OBRAS COMPLEMENTARIAS EN EL COLEGIO BACHILLERES DEL ESTADO DE YUCATÁN  (COBAY) EN EL MUNICIPO DE CENOTILLO, YUCATÁN   ",Cenotillo,Cenotillo,2000000,EN_PROCESO,21.01022182,-88.56432319,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
SEDER,PROGRAMA CAMINOS RENACIMIENTO,Cenotillo,Cenotillo,800000,FINALIZADA,21.01022182,-88.56432319,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IDEFEEY,"EQUIPAMIENTO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES  EN EL COLEGIO DE BACHILLERES PLANTEL CHACSINKÍN DE LA LOCALIDAD Y MUNICIPIO DE CHACSINKÍN, CCT. 31EMS0001Q.",Chacsinkín,Chacsinkín,46316.36,EN_PROCESO,20.17085727,-89.03349452,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IDEFEEY,"MANTENIMIENTO Y CONSERVACIÓN EN EL COLEGIO DE BACHILLERES PLANTEL CHACSINKIN DE LA LOCALIDAD Y MUNICIPIO DE CHACSINKÍN, CCT. 31EMS0001Q",Chacsinkín,Chacsinkín,3069579.98,EN_PROCESO,20.17085727,-89.03349452,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
SEDER,PROGRAMA CAMINOS RENACIMIENTO,Chacsinkín,Chacsinkín,640000,FINALIZADA,20.17085727,-89.03349452,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IDEFEEY,"EQUIPAMIENTO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES  EN EL COLEGIO DE BACHILLERES PLANTEL CHANKOM DE LA LOCALIDAD Y MUNICIPIO DE CHANKOM, CCT. 31EMS0002P.",Chankom,Chankom,46316.36,EN_PROCESO,20.54258095,-88.54384439,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IDEFEEY,"MANTENIMIENTO DE UN COMEDOR EN LA ESCUELA PRIMARIA PLAN SEXENAL DE LA LOCALIDAD Y MUNICIPIO DE CHANKOM, CCT. 31DPR0619I.",Chankom,Chankom,1197477.95,EN_PROCESO,20.54258095,-88.54384439,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
